# time (s)	h_+ (strain)	h_x (strain)
-2.909306281	5.140786635772672972e-20	-3.033822460166395002e-20
-2.909245246	5.163989697932461706e-20	-2.994217837169888746e-20
-2.909184211	5.186887813173920268e-20	-2.954435451570145360e-20
-2.909123175	5.209479617259284070e-20	-2.914477650144888674e-20
-2.909062140	5.231763764001525997e-20	-2.874346790160195189e-20
-2.909001105	5.253738925345127512e-20	-2.834045239231713373e-20
-2.908940070	5.275403791445812746e-20	-2.793575375185281097e-20
-2.908879035	5.296757070749161960e-20	-2.752939585916905114e-20
-2.908818000	5.317797490068199430e-20	-2.712140269252148916e-20
-2.908756964	5.338523794659866109e-20	-2.671179832804925351e-20
-2.908695929	5.358934748300433030e-20	-2.630060693835683482e-20
-2.908634894	5.379029133359795249e-20	-2.588785279109026396e-20
-2.908573859	5.398805750874700522e-20	-2.547356024750746709e-20
-2.908512824	5.418263420620863946e-20	-2.505775376104305968e-20
-2.908451789	5.437400981183980001e-20	-2.464045787586751624e-20
-2.908390753	5.456217290029627192e-20	-2.422169722544082694e-20
-2.908329718	5.474711223572071894e-20	-2.380149653106087009e-20
-2.908268683	5.492881677242009324e-20	-2.337988060040477000e-20
-2.908207648	5.510727565553467946e-20	-2.295687432605764593e-20
-2.908146613	5.528247822168975711e-20	-2.253250268405124358e-20
-2.908085578	5.545441399963673066e-20	-2.210679073239595217e-20
-2.908024543	5.562307271088491883e-20	-2.167976360960326104e-20
-2.907963507	5.578844427032193267e-20	-2.125144653320365728e-20
-2.907902472	5.595051878682270283e-20	-2.082186479825946776e-20
-2.907841437	5.610928656384705948e-20	-2.039104377587314513e-20
-2.907780402	5.626473810002581685e-20	-1.995900891169073903e-20
-2.907719367	5.641686408973535039e-20	-1.952578572440116329e-20
-2.907658332	5.656565542366072661e-20	-1.909139980423079583e-20
-2.907597296	5.671110318934715706e-20	-1.865587681143358869e-20
-2.907536261	5.685319867173986050e-20	-1.821924247477737135e-20
-2.907475226	5.699193335371232148e-20	-1.778152259002551378e-20
-2.907414191	5.712729891658287283e-20	-1.734274301841476768e-20
-2.907353156	5.725928724061959030e-20	-1.690292968512895502e-20
-2.907292121	5.738789040553327039e-20	-1.646210857776896105e-20
-2.907231086	5.751310069095903323e-20	-1.602030574481874927e-20
-2.907170050	5.763491057692496151e-20	-1.557754729410704585e-20
-2.907109015	5.775331274428189583e-20	-1.513385939124925935e-20
