# time (s)	h_+ (strain)	h_x (strain)	h_abs (strain)	 h_arg (rad)
-1.379276276	-6.803358487843000879e-20	-1.016979386545125373e-19	1.223561988539507441e-19	3.288860326803413159e+02
-1.379215240	-6.725078176950276008e-20	-1.022187676168942942e-19	1.223574439980090519e-19	3.288783482916753655e+02
-1.379154205	-6.646397925577995046e-20	-1.027335792449264740e-19	1.223586892827245717e-19	3.288706637826300039e+02
-1.379093170	-6.567322332805464918e-20	-1.032423424100315241e-19	1.223599343274044611e-19	3.288629791532277409e+02
-1.379032135	-6.487856061708332284e-20	-1.037450269698591005e-19	1.223611795003682811e-19	3.288552944034416896e+02
-1.378971100	-6.408003769214274582e-20	-1.042416026678902497e-19	1.223624246139178845e-19	3.288476095332832756e+02
-1.378910065	-6.327770154530770897e-20	-1.047320399125248212e-19	1.223636698415658371e-19	3.288399245427493724e+02
-1.378849029	-6.247159923570910508e-20	-1.052163092053064988e-19	1.223649150445245715e-19	3.288322394318485067e+02
-1.378787994	-6.166177812997115186e-20	-1.056943815438575699e-19	1.223661602408457087e-19	3.288245542005669222e+02
-1.378726959	-6.084828582478692575e-20	-1.061662282995348516e-19	1.223674054606206042e-19	3.288168688488935345e+02
-1.378665924	-6.003117008829814612e-20	-1.066318211095011425e-19	1.223686506230204095e-19	3.288091833768650076e+02
-1.378604889	-5.921047900102367855e-20	-1.070911321600353553e-19	1.223698958520796595e-19	3.288014977844459850e+02
-1.378543854	-5.838626078288790265e-20	-1.075441338646535550e-19	1.223711411113989523e-19	3.287938120716324306e+02
-1.378482819	-5.755856384654118996e-20	-1.079907989576861626e-19	1.223723863116011513e-19	3.287861262384533347e+02
-1.378421783	-5.672743692414695368e-20	-1.084311007646994644e-19	1.223736316083962722e-19	3.287784402848742502e+02
-1.378360748	-5.589292878340713025e-20	-1.088650126406145784e-19	1.223748767730868509e-19	3.287707542109337737e+02
-1.378299713	-5.505508860715730191e-20	-1.092925087415384680e-19	1.223761220523072592e-19	3.287630680165825652e+02
-1.378238678	-5.421396563721086377e-20	-1.097135633056934666e-19	1.223773673656411351e-19	3.287553817018533664e+02
-1.378177643	-5.336960932178344206e-20	-1.101281509687416975e-19	1.223786126533299055e-19	3.287476952667452110e+02
-1.378116608	-5.252206934859095116e-20	-1.105362468405114755e-19	1.223798579597340447e-19	3.287400087112322353e+02
-1.378055572	-5.167139553703312837e-20	-1.109378262706254026e-19	1.223811031752696313e-19	3.287323220353329702e+02
-1.377994537	-5.081763804325014181e-20	-1.113328653136455517e-19	1.223823485443923291e-19	3.287246352390347965e+02
-1.377933502	-4.996084701801341925e-20	-1.117213399828297319e-19	1.223835938445851034e-19	3.287169483223695465e+02
-1.377872467	-4.910107292796455170e-20	-1.121032269882992930e-19	1.223848391912472451e-19	3.287092612852779894e+02
-1.377811432	-4.823836637948862080e-20	-1.124785033073828854e-19	1.223860845734952036e-19	3.287015741278038377e+02
-1.377750397	-4.737277811191572633e-20	-1.128471462144626917e-19	1.223873298785014065e-19	3.286938868499353816e+02
-1.377689362	-4.650435914304551669e-20	-1.132091336143191493e-19	1.223885752552505461e-19	3.286861994516650611e+02
